Ref,Credit_Score,Final_Grade,Term,Net_Advance,APR,Loan_Type,Mosaic,Mosaic_Class,Time_at_Address,Residential_Status,Telephone_Indicator,Number_of_Dependants,Marital_Status,Gender,Time_in_Employment,Employment_Status,Full_Part_Time_Empl_Ind,Perm_Temp_Empl_Ind,Income_Range,Current_Account,ACCESS_Card,VISA_Card,American_Express,Diners_Card,Cheque_Guarantee,Other_Credit_Store_Card,Time_with_Bank,Value_of_Property,Outstanding_Mortgage_Bal,Total_Outstanding_Balances,Bureau Data - Monthly_Other_Co_Repayments,Worst_History_CT,Payment_Method,Age,Total_outstanding_balance__mortg,Total # Public Info. (Court + bankruptcies),Total value Public Info. (Court + bankruptcies),Time since most recent Public Info.  mnths,Total_value__CAIS_8_9s,Worst_status_L6m,Worst_CUrrent_Status,__of_status_3_s_L6m,Searches___Total___L6m,Years_on_ER_for_SP,Bankruptcy_Detected__SP_,Total___outstanding_CCJ_s,Total outstanding balance (excl. mortgages),Total___of_accounts,CIFAS_detected,Time_since_most_recent_outstandi,Insurance_Description,PPI,code,prdt_desc,category,PPI_SINGLE,PPI_JOINT,PPI_LCI
17185,1006,X,60,7500,8.9,secured  ,23,4,252,H,Y,0,M,F,180,G,F,P,6,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,252,"120,000.00",36776,75062,1037,5,D,50,38,0,0,99,0,1,1,0,7,21,N,0,383,9,N,99,,0,,,,0,0,0
17186,1007,X,24,2200,21.9,UnSecured,10,2,60,H,Y,2,M,F,120,G,F,P,6,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE  ,180,"143,000.00",68604,78579,740,5,D,38,70,0,0,99,0,1,0,0,1,5,N,0,100,4,N,99,,0,,,,0,0,0
17190,730,R,48,5400,22.2,secured  ,8,2,24,T,Y,0,S,M,24,P,F,P,0,TRUE,TRUE ,TRUE ,FALSE,FALSE,TRUE,FALSE ,120,"120,000.00",0,408,0,5,D,30,0,0,0,99,120,1,1,0,9,1,N,0,5,5,N,99,,0,,,,0,0,0
17192,766,E,60,2000,33.9,UnSecured,37,6,120,T,Y,0,S,F,130,P,F,P,3,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,120,"120,000.00",0,4148,0,5,D,39,0,0,0,99,0,2,1,0,3,10,N,0,42,9,N,99,LASU                      ,1,750,LASU,Single,1,0,0
17193,898,A,60,5000,15.9,UnSecured,36,6,144,T,Y,1,S,F,48,G,F,P,3,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,126,"120,000.00",0,0,0,5,D,32,0,0,0,99,0,0,0,0,1,12,N,0,1,2,N,99,LASU                      ,1,770,LASU,Single,1,0,0
17196,868,B,37,1000,25.9,UnSecured,36,6,185,T,Y,1,M,M,43,P,F,P,6,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,238,"120,000.00",0,15398,371,0,D,55,0,0,0,99,0,0,0,0,2,0,N,0,154,3,N,99,Single                    ,1,715,LASU,Single,1,0,0
17197,791,D,120,20000,16.9,secured  ,27,4,42,H,Y,0,S,M,84,S,F,P,6,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,97,"197,000.00",162086,173855,816,0,D,48,164,0,0,99,0,0,0,0,2,3,N,0,118,4,N,99,LASCI                     ,1,760,LASCI,Single,1,0,0
17198,807,D,60,5000,21.9,UnSecured,32,5,20,H,Y,0,S,M,61,P,F,P,4,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,149,"175,000.00",153000,12000,194,0,D,33,12,0,0,99,0,0,0,0,6,1,N,0,12,2,N,99,,0,,,,0,0,0
17200,887,A,60,6500,16.9,UnSecured,46,8,38,T,Y,2,M,M,422,S,F,P,5,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,242,"120,000.00",0,19552,0,0,D,51,0,0,0,99,0,0,0,0,3,0,N,0,196,4,N,99,Single                    ,1,718,LASCI,Single,1,0,0
17201,836,C,120,15000,15.4,secured  ,46,8,431,H,N,1,S,F,18,P,F,P,5,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,215,"223,000.00",35000,1270,0,5,D,37,0,0,0,99,135,0,6,5,2,11,N,0,13,3,N,99,Single                    ,1,715,LASU,Single,1,0,0
17202,805,D,60,6000,23.9,UnSecured,28,5,63,T,Y,1,S,F,30,G,F,P,3,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE ,133,"120,000.00",0,10205,0,0,D,32,0,0,0,99,0,0,0,0,5,2,N,0,103,3,N,99,Single                    ,1,715,LASU,Single,1,0,0
17203,877,A,60,6000,20.9,UnSecured,18,3,132,T,Y,3,S,F,191,D,F,P,5,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,192,"120,000.00",0,29175,347,5,D,46,0,0,0,99,0,1,0,0,1,0,N,0,292,9,N,99,Life & CI                 ,1,713,LIFE & CRITICAL ILLNESS,LCI,0,0,1
17205,778,E,60,4000,27.9,UnSecured,46,8,60,T,Y,0,S,M,53,S,F,P,3,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE ,53,"120,000.00",0,3359,70,4,D,24,0,0,0,99,0,0,0,0,2,1,N,0,34,5,N,99,Single                    ,1,718,LASCI,Single,1,0,0
17208,884,A,120,22000,8.9,secured  ,23,4,107,H,Y,2,M,M,237,P,F,P,6,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE ,106,"195,000.00",121977,146747,753,0,D,44,123,1,5,40,7,1,1,0,2,7,N,1,248,3,N,40,Life & CI                 ,1,714,JOINT LIFE & CRITICAL ILLNESS,Single,1,0,0
17210,855,B,60,4000,24.9,UnSecured,13,2,110,T,Y,3,M,F,72,P,F,P,6,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE ,98,"120,000.00",0,9674,40,0,D,40,0,0,0,99,0,1,1,0,2,7,N,0,97,6,N,99,,0,,,,0,0,0
17213,963,X,36,3200,8.9,UnSecured,55,10,60,H,Y,1,M,F,48,S,F,P,6,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,144,"291,000.00",120000,168385,1637,0,D,36,137,0,0,99,0,0,0,0,4,5,N,0,325,9,N,99,,0,,,,0,0,0
17216,949,X,120,20000,9.4,secured  ,21,4,96,H,Y,3,S,F,120,S,F,P,6,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,120,"248,000.00",183537,208517,1549,5,D,40,185,0,0,99,0,1,1,0,1,7,N,0,250,8,N,99,Life & Critical Illn      ,1,748,LIFE & CRITICAL ILLNESS,LCI,0,0,1
17219,908,A,60,6500,9.4,UnSecured,47,8,233,H,Y,0,D,F,25,P,F,P,4,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,300,"100,000.00",33151,38716,400,5,D,54,35,0,0,99,0,1,0,0,3,16,N,0,56,9,N,99,Single                    ,1,718,LASCI,Single,1,0,0
17221,1006,X,48,12000,7.4,UnSecured,54,10,444,H,Y,1,M,M,228,P,F,P,6,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,396,"185,250.00",40000,21059,448,0,D,61,0,0,0,99,10,0,0,0,1,15,N,0,211,9,N,99,Life & CI                 ,1,713,LIFE & CRITICAL ILLNESS,LCI,0,0,1
17224,758,F,120,11000,18.9,secured  ,23,4,228,H,Y,0,S,F,348,P,F,P,4,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,108,"130,000.00",113942,126305,672,4,D,48,115,0,0,99,18,2,1,0,9,12,N,0,124,7,N,99,1st Cust - LASCI / 2      ,1,773,1st Cust - LASCI / 2nd Cust - LCI,Single,1,0,0
17225,905,A,30,13269,9.9,UnSecured,30,5,3,T,Y,0,S,M,55,P,F,P,6,TRUE,TRUE ,TRUE ,TRUE ,FALSE,TRUE,FALSE ,255,"120,000.00",0,25341,145,0,D,50,0,0,0,99,6,0,0,0,2,0,N,0,254,3,N,99,,0,,,,0,0,0
17229,1003,X,60,5000,19.9,UnSecured,43,7,456,H,Y,1,S,F,96,G,F,P,3,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,156,"95,000.00",59268,59724,369,5,D,41,61,2,7,12,12,2,0,0,1,2,N,2,5,4,N,12,Life & Critical Illn      ,1,748,LIFE & CRITICAL ILLNESS,LCI,0,0,1
17232,781,E,36,3000,38.9,UnSecured,24,4,12,H,Y,2,S,M,12,P,F,P,6,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE ,240,"120,000.00",41694,59713,588,5,D,42,49,3,121,14,29,4,0,7,1,1,N,3,121,5,N,14,LASU                      ,1,750,LASU,Single,1,0,0
17233,873,A,60,6000,16.9,UnSecured,47,8,356,T,Y,0,W,F,116,G,F,P,2,TRUE,TRUE ,FALSE,FALSE,FALSE,TRUE,TRUE  ,488,"120,000.00",0,14872,195,4,D,56,0,1,5,44,8,0,0,0,1,0,N,1,149,3,N,44,Other                     ,1,758,LASU,Single,1,0,0
17234,811,D,60,3700,32.9,UnSecured,41,7,116,H,Y,0,M,M,24,P,F,P,4,TRUE,TRUE ,FALSE,FALSE,FALSE,TRUE,FALSE ,46,"120,000.00",8000,4700,132,0,D,53,0,2,60,35,1,0,4,3,3,5,N,2,47,3,N,35,,0,,,,0,0,0
17235,840,B,36,3000,22.9,UnSecured,43,7,1,H,N,0,S,F,86,P,F,P,4,TRUE,FALSE,TRUE ,FALSE,FALSE,FALS,TRUE  ,242,"75,000.00",56250,13507,331,5,D,34,0,0,0,99,0,1,1,0,1,0,N,0,136,4,N,99,Single                    ,1,715,LASU,Single,1,0,0
17240,900,A,60,5000,11.9,UnSecured,47,8,113,H,Y,0,M,M,12,P,F,P,6,TRUE,TRUE ,TRUE ,FALSE,FALSE,TRUE,FALSE ,360,"110,000.00",96795,116738,1229,5,D,43,98,0,0,99,1,2,2,0,3,5,N,0,200,9,N,99,Joint                     ,1,721,1st Cust - LASU / 2nd Cust - LASCI,Joint,0,1,0
17242,1035,X,60,7500,7.9,UnSecured,44,8,312,H,Y,0,M,M,129,G,F,P,3,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,240,"120,000.00",0,3389,0,5,D,48,0,0,0,99,0,0,0,0,0,25,N,0,34,6,N,99,Other                     ,1,770,LASU,Single,1,0,0
17248,846,B,60,6000,17.9,UnSecured,23,4,12,H,Y,0,D,F,12,G,F,P,6,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,240,"148,000.00",111588,129738,561,4,D,40,113,0,0,99,23,0,0,0,9,0,N,0,182,4,N,99,LASU                      ,1,750,LASU,Single,1,0,0
17250,1057,X,60,10000,7.9,UnSecured,16,3,168,H,Y,0,M,M,396,G,F,P,6,TRUE,TRUE ,TRUE ,FALSE,FALSE,TRUE,TRUE  ,264,"220,000.00",60000,88807,1263,5,D,59,61,0,0,99,0,0,0,0,2,14,N,0,295,8,N,99,,0,,,,0,0,0
17251,837,C,60,4000,24.9,UnSecured,44,8,291,L,Y,0,S,M,78,P,F,P,3,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE ,139,"120,000.00",0,2649,72,0,D,31,0,0,0,99,0,0,0,0,1,13,N,0,27,4,N,99,Single                    ,1,715,LASU,Single,1,0,0
17252,771,E,120,15000,18.9,secured  ,23,4,264,H,Y,0,S,F,84,G,F,P,6,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,60,"107,000.00",65851,81504,1253,4,D,41,66,2,7,31,143,3,1,1,4,17,N,0,167,6,N,99,,0,,,,0,0,0
17254,893,A,60,6500,16.9,UnSecured,47,8,187,L,Y,0,S,M,96,P,F,P,5,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,115,"120,000.00",0,15255,254,0,D,50,0,0,0,99,0,0,0,0,1,22,N,0,153,5,N,99,Single                    ,1,715,LASU,Single,1,0,0
17255,1003,X,60,10000,8.9,UnSecured,24,4,64,H,Y,2,M,M,67,G,F,P,4,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,241,"115,000.00",0,97946,706,5,D,40,89,0,0,99,1,0,0,0,0,4,N,0,104,9,N,99,,0,,,,0,0,0
17256,944,X,60,5600,7.9,UnSecured,9,2,108,H,Y,0,M,M,42,S,F,P,6,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,168,"165,000.00",40676,71208,646,0,D,61,42,0,0,99,0,1,1,0,1,8,N,0,306,8,N,99,Single                    ,1,718,LASCI,Single,1,0,0
17262,807,D,36,1100,38.9,UnSecured,23,4,144,T,Y,3,S,M,84,P,F,P,4,TRUE,TRUE ,FALSE,FALSE,FALSE,TRUE,FALSE ,84,"120,000.00",0,14791,250,0,D,36,0,0,0,99,344,1,0,0,3,11,N,0,148,6,N,99,Single                    ,1,720,1st Cust - LASCI / 2nd Cust - LCI,Single,1,0,0
17263,723,O,60,3000,28.9,secured  ,45,8,37,H,N,0,S,M,31,P,F,P,3,TRUE,TRUE ,TRUE ,FALSE,FALSE,TRUE,FALSE ,121,"99,000.00",81553,108015,746,5,D,34,83,0,0,99,0,2,1,0,4,3,N,0,265,8,N,99,LASU                      ,1,750,LASU,Single,1,0,0
17270,841,B,60,7000,23.9,UnSecured,60,11,178,L,Y,0,S,M,64,M,F,P,4,TRUE,TRUE ,TRUE ,FALSE,FALSE,TRUE,FALSE ,104,"120,000.00",0,5529,0,0,D,30,0,0,0,99,0,0,0,0,1,0,N,0,56,1,N,99,Other                     ,1,756,LIFE & CRITICAL ILLNESS,LCI,0,0,1
17271,749,F,120,13000,18.4,secured  ,44,8,144,H,Y,3,S,M,1,P,F,P,5,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,TRUE  ,252,"98,000.00",72317,96690,463,4,D,39,74,0,0,99,15,2,4,2,4,10,N,0,244,7,N,99,Single                    ,1,717,1st Cust - LASU / 2nd Cust - LCI,Single,1,0,0
17274,975,X,84,15000,7.4,secured  ,47,8,336,H,Y,0,M,M,288,P,F,P,5,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,TRUE  ,204,"147,000.00",76128,90252,1010,5,D,59,78,0,0,99,0,2,0,0,1,1,N,0,142,9,N,99,Life & CI                 ,1,714,JOINT LIFE & CRITICAL ILLNESS,Single,1,0,0
17275,881,A,37,2000,26.9,UnSecured,50,10,72,T,Y,1,S,M,159,P,F,P,4,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,TRUE  ,60,"120,000.00",0,3229,52,5,D,32,0,0,0,99,0,0,0,0,3,1,N,0,33,5,N,99,,0,,,,0,0,0
17278,859,B,120,25000,10.4,secured  ,44,8,167,H,Y,0,D,F,62,P,F,P,5,TRUE,TRUE ,TRUE ,FALSE,FALSE,TRUE,TRUE  ,180,"132,000.00",67021,111674,1140,5,D,45,86,0,0,99,0,2,0,0,0,14,N,0,274,9,N,99,Life & CI                 ,1,713,LIFE & CRITICAL ILLNESS,LCI,0,0,1
17280,828,C,60,3105.57,7.9,UnSecured,39,6,96,T,Y,0,S,F,36,R,F,P,2,TRUE,TRUE ,TRUE ,FALSE,FALSE,TRUE,FALSE ,315,"120,000.00",0,8723,234,0,D,65,0,0,0,99,6,2,2,0,1,8,N,0,88,9,N,99,Life & CI                 ,1,713,LIFE & CRITICAL ILLNESS,LCI,0,0,1
17281,846,B,120,27000,11.4,secured  ,22,4,14,H,Y,2,M,M,34,P,F,P,5,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,TRUE  ,240,"160,000.00",126065,152729,744,4,D,37,128,0,0,99,36,0,0,0,5,1,N,0,267,5,N,99,,0,,,,0,0,0
17282,870,B,60,3500,27.9,UnSecured,40,6,78,T,Y,1,S,F,3,G,F,P,3,TRUE,TRUE ,TRUE ,FALSE,FALSE,TRUE,TRUE  ,192,"120,000.00",0,9092,209,5,D,31,0,0,0,99,0,1,1,0,5,6,N,0,91,6,N,99,Single                    ,1,715,LASU,Single,1,0,0
17283,960,X,37,5000,9.9,UnSecured,49,9,156,T,Y,0,M,F,36,R,F,P,2,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,180,"120,000.00",0,11585,177,0,D,59,0,0,0,99,0,0,0,0,1,5,N,0,116,9,N,99,,0,,,,0,0,0
17287,836,C,96,12000,14.4,secured  ,42,7,161,H,Y,0,M,F,7,P,F,P,5,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,TRUE  ,223,"105,000.00",76698,11274,0,4,D,40,0,0,0,99,10,0,0,0,5,11,N,0,113,2,N,99,1st Cust - LASU / 2n      ,1,759,1st Cust - LASU / 2nd Cust - LCI,Single,1,0,0
17288,840,B,60,7500,16.9,UnSecured,44,8,30,H,Y,0,D,F,60,S,F,P,4,TRUE,TRUE ,TRUE ,FALSE,FALSE,TRUE,FALSE ,264,"85,000.00",82000,109269,953,0,D,42,84,0,0,99,0,0,1,0,5,2,N,0,267,9,N,99,Other                     ,1,772,LASCI,Single,1,0,0
17290,779,E,120,24700,19.9,secured  ,0,1,12,H,Y,1,S,M,108,S,F,P,6,TRUE,TRUE ,TRUE ,FALSE,FALSE,TRUE,TRUE  ,180,"128,000.00",115750,33899,557,5,D,27,0,0,0,99,0,0,0,0,8,0,N,0,339,4,N,99,,0,,,,0,0,0
17291,762,E,84,15000,17.9,secured  ,9,2,74,H,Y,0,S,M,266,P,F,P,6,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,254,"184,000.00",87204,104518,531,1,D,42,89,0,0,99,37,1,1,0,1,6,N,0,174,8,N,99,,0,,,,0,0,0
17294,959,X,36,1500,19.9,UnSecured,40,6,48,R,N,0,S,M,168,P,F,P,3,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,129,"120,000.00",0,12912,363,0,D,42,0,0,0,99,0,0,0,0,1,0,N,0,130,3,N,99,,0,,,,0,0,0
17297,920,A,36,5000,15.9,UnSecured,43,7,42,R,Y,0,M,M,84,R,F,P,3,TRUE,FALSE,FALSE,FALSE,FALSE,FALS,FALSE ,108,"120,000.00",0,2676,140,5,D,64,0,0,0,99,26,0,0,0,1,3,N,0,27,2,N,99,,0,,,,0,0,0
17298,859,B,120,10000,12.4,secured  ,4,1,177,H,Y,3,D,F,63,G,F,P,5,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE ,189,"290,000.00",81403,89805,530,4,D,40,83,0,0,99,0,1,1,0,5,13,N,0,85,5,N,99,,0,,,,0,0,0
17304,937,A,39,8100,9.4,UnSecured,32,5,120,H,Y,0,M,M,12,P,F,P,4,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,54,"114,000.00",54949,65825,578,0,D,56,56,0,0,99,0,1,0,0,1,9,N,0,109,9,N,99,Single                    ,1,715,LASU,Single,1,0,0
17309,962,X,48,11000,9.4,UnSecured,42,7,120,H,Y,0,M,F,24,R,F,P,5,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,108,"90,000.00",0,9857,296,0,D,64,0,0,0,99,0,0,0,0,1,3,N,0,99,5,N,99,,0,,,,0,0,0
17311,787,D,60,3000,26.9,UnSecured,23,4,64,H,Y,0,M,F,8,P,F,P,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALS,FALSE ,122,"120,000.00",33133,32133,229,5,D,37,34,0,0,99,0,0,0,0,6,4,N,0,1,2,N,99,Other                     ,1,756,LIFE & CRITICAL ILLNESS,LCI,0,0,1
17312,959,X,60,14000,7.9,UnSecured,44,8,72,H,Y,1,M,M,98,P,F,P,6,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,372,"165,000.00",88677,109247,668,0,D,53,90,0,0,99,0,0,0,0,2,4,N,0,206,6,N,99,Other                     ,1,758,LASU,Single,1,0,0
17313,798,D,12,1000,38.9,UnSecured,43,7,78,H,Y,0,M,M,22,P,F,P,4,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,180,"70,000.00",34000,35663,230,5,D,38,35,1,1,7,22,2,1,0,6,6,N,1,17,3,N,7,LASU                      ,1,750,LASU,Single,1,0,0
17314,881,A,14,1400,23.9,UnSecured,44,8,7,H,Y,0,M,M,97,P,F,P,6,TRUE,FALSE,TRUE ,FALSE,FALSE,FALS,FALSE ,120,"110,000.00",94043,219269,1226,4,D,34,189,0,0,99,0,0,0,0,0,0,N,0,314,9,N,99,LASU                      ,1,758,LASU,Single,1,0,0
17316,839,B,60,6000,19.9,UnSecured,55,10,42,H,Y,2,S,F,12,G,F,P,5,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,TRUE  ,348,"200,000.00",120614,134984,905,5,D,50,122,0,0,99,11,5,2,1,6,2,N,0,144,9,N,99,Joint Life & Critica      ,1,749,JOINT LIFE & CRITICAL ILLNESS,Single,1,0,0
17317,944,X,60,10000,6.9,UnSecured,4,1,60,H,Y,3,M,M,60,P,F,P,6,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,60,"320,000.00",175000,187473,1051,0,D,41,185,0,0,99,0,0,0,0,2,5,N,0,35,7,N,99,Single                    ,1,715,LASU,Single,1,0,0
17318,860,B,30,2000,23.9,UnSecured,41,7,132,H,Y,0,M,M,30,P,F,P,6,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,180,"115,000.00",47941,49359,466,0,D,38,49,2,15,35,2,0,0,0,0,3,N,1,15,6,N,35,Life & CI                 ,1,713,LIFE & CRITICAL ILLNESS,LCI,0,0,1
17321,804,D,96,6000,17.9,secured  ,0,1,7,H,Y,0,S,M,84,P,F,P,6,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,120,"375,000.00",249917,258484,1578,5,D,26,251,0,0,99,0,0,0,0,1,0,N,0,93,6,N,99,,0,,,,0,0,0
17323,953,X,60,10000,7.4,UnSecured,24,4,53,H,Y,0,M,M,74,P,F,P,6,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,300,"100,000.00",70051,88942,853,0,D,51,72,0,0,99,4,2,0,0,3,3,N,0,189,9,N,99,Joint                     ,1,716,LASU JOINT,JOINT,0,1,0
17324,833,C,60,5600,22.9,UnSecured,46,8,57,H,Y,1,S,M,48,P,F,P,5,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,168,"160,000.00",114546,123293,1045,5,D,26,116,0,0,99,0,1,1,0,4,4,N,0,91,9,N,99,,0,,,,0,0,0
17326,899,A,60,2000,26.9,UnSecured,30,5,120,T,N,0,M,M,452,R,F,P,3,TRUE,FALSE,TRUE ,FALSE,FALSE,FALS,FALSE ,240,"120,000.00",0,12920,237,0,D,58,0,0,0,99,0,0,0,0,3,0,N,0,130,5,N,99,,0,,,,0,0,0
17329,700,R,36,1500,44.9,UnSecured,22,4,30,H,Y,2,M,M,120,P,F,P,4,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE  ,102,"165,000.00",132040,142306,179,5,D,47,134,0,0,99,5,3,1,1,9,2,N,0,103,9,N,99,,0,,,,0,0,0
17331,862,B,60,7500,16.4,secured  ,47,8,3,H,N,0,S,M,53,P,F,P,6,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,146,"102,000.00",103514,106229,728,4,D,22,105,0,0,99,0,0,0,0,5,0,N,0,28,9,N,99,Single                    ,1,715,LASU,Single,1,0,0
17332,810,D,60,5000,20.9,secured  ,45,8,214,H,N,0,W,F,30,P,F,P,6,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,48,"109,000.00",87342,103263,903,5,D,50,89,1,5,23,10,3,1,1,3,18,N,1,160,9,N,23,,0,,,,0,0,0
17333,704,R,60,3000,44.9,UnSecured,43,7,215,H,Y,0,M,M,6,P,F,P,5,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,240,"120,000.00",0,17576,95,1,D,51,0,0,0,99,0,2,1,0,4,2,N,0,176,9,N,99,LASU                      ,1,750,LASU,Single,1,0,0
17339,885,A,60,3000,19.9,UnSecured,31,5,216,H,Y,0,M,M,48,P,F,P,6,TRUE,TRUE ,TRUE ,FALSE,FALSE,TRUE,FALSE ,192,"145,000.00",123256,129928,828,0,D,41,125,1,5,26,69,0,0,0,5,18,N,1,67,9,N,26,Single                    ,1,715,LASU,Single,1,0,0
17341,982,X,60,5000,7.9,UnSecured,17,3,67,H,Y,0,M,M,110,P,F,P,4,TRUE,TRUE ,TRUE ,FALSE,FALSE,TRUE,FALSE ,180,"320,000.00",111973,124466,859,5,D,36,113,0,0,99,0,0,0,0,0,1,N,0,125,3,N,99,,0,,,,0,0,0
17342,887,A,60,5000,24.9,UnSecured,23,4,240,L,Y,0,S,F,18,P,F,P,2,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,186,"120,000.00",0,11121,217,5,D,21,0,0,0,99,0,0,0,0,0,3,N,0,112,4,N,99,Single                    ,1,718,LASCI,Single,1,0,0
17351,953,X,72,15000,8.2,secured  ,45,8,240,H,Y,0,M,M,59,S,F,P,6,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,240,"160,000.00",22411,55621,550,1,D,51,24,0,0,99,0,1,1,0,4,18,N,0,333,9,N,99,1st Cust - LASCI / 2      ,1,761,1st Cust - LASCI / 2nd Cust - LCI,Single,1,0,0
17352,754,F,60,2000,38.9,UnSecured,42,7,101,R,N,0,D,F,11,P,F,P,2,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE ,111,"120,000.00",0,91,0,5,D,44,0,1,3,14,28,0,0,0,2,0,N,1,1,3,N,14,,0,,,,0,0,0
17353,902,A,36,1700,21.9,UnSecured,22,4,203,H,Y,0,D,F,89,G,F,P,3,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,251,"115,000.00",61714,66652,531,0,D,48,63,1,6,63,7,1,0,0,6,15,N,0,50,3,N,99,Single                    ,1,715,LASU,Single,1,0,0
17357,814,C,60,4300,24.9,UnSecured,99,99,6,H,Y,1,M,M,60,S,F,P,6,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,TRUE  ,82,"230,000.00",205974,232561,1833,0,D,34,207,1,2,11,52,1,0,0,9,0,N,1,266,9,N,11,,0,,,,0,0,0
17359,691,R,120,20000,22.9,secured  ,45,8,27,H,Y,0,M,M,4,P,F,P,6,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,120,"209,000.00",142240,29485,299,0,D,46,0,1,3,66,21,0,0,0,5,2,N,1,295,7,N,66,Life & CI                 ,1,713,LIFE & CRITICAL ILLNESS,LCI,0,0,1
17364,767,E,36,2000,34.9,UnSecured,24,4,28,T,Y,0,S,F,24,P,F,P,3,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,252,"120,000.00",0,5576,65,5,D,40,0,0,0,99,0,1,0,0,5,1,N,0,56,9,N,99,LASU                      ,1,750,LASU,Single,1,0,0
17374,909,A,120,14000,10.9,secured  ,42,7,160,H,Y,0,M,M,153,P,F,P,5,TRUE,TRUE ,FALSE,FALSE,FALSE,TRUE,FALSE ,181,"109,000.00",84962,96689,995,5,D,47,86,1,2,22,11,6,6,6,4,12,N,1,118,9,N,22,Life & CI                 ,1,713,LIFE & CRITICAL ILLNESS,LCI,0,0,1
17378,837,C,60,3600,32.9,UnSecured,23,4,138,H,Y,1,M,F,48,G,F,P,6,TRUE,TRUE ,FALSE,FALSE,FALSE,FALS,FALSE ,78,"110,000.00",97740,100336,504,4,D,39,99,1,64,47,96,3,1,1,4,1,N,0,26,8,N,99,,0,,,,0,0,0
